------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 042A 9E00 EA0E 01
custom name, 96
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 4841
time diff [logger-smartphone](sec), 47
lat, 48.596816
long, -123.144764
accuracy (m), 13.6
------------------------------,--------------------
time,temp
2025-06-24 19:25:01,36.1
2025-06-24 19:30:01,38.2
2025-06-24 19:35:01,37.4
2025-06-24 19:40:01,34.2
2025-06-24 19:45:01,32.0
2025-06-24 19:50:01,31.0
2025-06-24 19:55:01,30.6
2025-06-24 20:00:01,30.2
2025-06-24 20:05:01,31.0
2025-06-24 20:10:01,32.6
2025-06-24 20:15:01,33.3
2025-06-24 20:20:01,32.8
2025-06-24 20:25:01,31.4
2025-06-24 20:30:01,28.1
2025-06-24 20:35:01,28.8
2025-06-24 20:40:01,29.3
2025-06-24 20:45:01,29.2
2025-06-24 20:50:01,27.4
2025-06-24 20:55:01,26.9
2025-06-24 21:00:01,27.5
2025-06-24 21:05:01,28.6
2025-06-24 21:10:01,30.2
2025-06-24 21:15:01,27.4
2025-06-24 21:20:01,26.3
2025-06-24 21:25:01,24.6
2025-06-24 21:30:01,23.0
2025-06-24 21:35:01,22.4
2025-06-24 21:40:01,22.6
2025-06-24 21:45:01,22.7
2025-06-24 21:50:01,22.3
2025-06-24 21:55:01,21.6
2025-06-24 22:00:01,17.5
2025-06-24 22:05:01,15.6
2025-06-24 22:10:01,15.6
2025-06-24 22:15:01,15.8
2025-06-24 22:20:01,15.0
2025-06-24 22:25:01,14.5
2025-06-24 22:30:01,13.7
2025-06-24 22:35:01,13.4
2025-06-24 22:40:01,13.3
2025-06-24 22:45:01,14.4
2025-06-24 22:50:01,15.8
2025-06-24 22:55:01,15.0
2025-06-24 23:00:01,14.5
2025-06-24 23:05:01,14.0
2025-06-24 23:10:01,14.4
2025-06-24 23:15:01,14.9
2025-06-24 23:20:01,14.9
2025-06-24 23:25:01,13.6
2025-06-24 23:30:01,12.6
2025-06-24 23:35:01,12.2
2025-06-24 23:40:01,12.9
2025-06-24 23:45:01,13.5
2025-06-24 23:50:01,13.4
2025-06-24 23:55:01,13.4
2025-06-25 00:00:01,13.2
2025-06-25 00:05:01,12.5
2025-06-25 00:10:01,12.5
2025-06-25 00:15:01,12.8
2025-06-25 00:20:01,12.3
2025-06-25 00:25:01,12.5
2025-06-25 00:30:01,12.4
2025-06-25 00:35:01,12.3
2025-06-25 00:40:01,12.2
2025-06-25 00:45:01,12.1
2025-06-25 00:50:01,12.1
2025-06-25 00:55:01,12.1
2025-06-25 01:00:01,12.0
2025-06-25 01:05:01,11.9
